brand,model,color,description,price,price_gel,compare_at_price,sizes,product_url
K-Swiss,Hypercourt Express 3,"turquoise, multicolored","Maximize your performance with the HYPERCOURT EXPRESS 3 CLAY SMU Discover the HYPERCOURT EXPRESS 3 CLAY SMU from K-Swiss, which was specially developed for the demands of demanding tennis games on clay courts. This high-quality tennis shoe features a breathable textile and mesh upper that ensures optimal air circulation and comfort, while the robust rubber outsole offers excellent grip on clay court surfaces. The soft EVA insole supports every step you take with its excellent cushioning and enables fast, efficient movements. Highlights: Breathable design: Mesh upper ensures optimal air circulation and foot comfort. Specialized for clay courts: Robust rubber sole provides excellent grip on sand. Effective cushioning: EVA insole supports fast movements with excellent cushioning. Experience the difference in the game with the HYPERCOURT EXPRESS 3 CLAY SMU and increase your performance on the court!",149.95 €,775,149.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-hypercourt-express-3-sandplatzschuh-herren-tuerkis-mehrfarbig-p0000004910401
ASICS,Gel-Challenger 15,"gray, blue-gray","Stability and cushioning for your game on clay The ASICS Gel-Challenger 15 clay court shoe is your reliable partner for intensive matches on the clay court. It offers targeted support for quick changes of direction and longer rallies, combined with pleasant cushioning and optimal ground feel. The GEL technology in the rearfoot area ensures effective shock absorption and supports a comfortable running experience - even under high loads. The TRUSSTIC technology in the midsole stabilizes the midfoot and prevents unwanted twisting during sideways movements. The abrasion-resistant herringbone outsole is specifically designed for clay courts and provides excellent traction for quick slides and stops. Highlights: GEL cushioning system: Soft landings and excellent comfort TRUSSTIC support unit: Provides stability and guidance during dynamic movements Special clay court sole: Herringbone profile for optimal grip and controlled slides Durable upper material: Durable and supportive for a secure playing feel With the ASICS Gel-Challenger 15 clay court shoe you play confidently and dynamically - with the perfect balance of stability, comfort and control the sand court.",89.95 €,405,120.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-gel-challenger-15-sandplatzschuh-herren-grau-blaugrau-a0000002380402
Wilson,Rush Pro 4.5,"black, light green","Dynamics and stability for your clay court game The Wilson Rush Pro 4.5 clay court shoe was specially developed for players who require maximum stability, comfort and explosive mobility on the clay court. With an optimized fit, innovative technologies and an outsole specially developed for ash, it offers you the perfect combination of control and speed. The breathable mesh upper provides comfortable ventilation and a lightweight feel, while the 4D Support Chassis 2.0 technology optimally stabilizes your foot and supports quick changes of direction. The herringbone profile outsole ensures the best grip and controlled gliding on the clay court. Thanks to the improved cushioning system, you experience more comfort with every step and intensive ball changes. Your advantages at a glance: 4D Support Chassis 2.0 for maximum stability and explosive mobility Herringbone clay court sole for optimal grip and controlled sliding Breathable upper material for a light and comfortable fit With the Wilson Rush Pro 4.5 clay court shoe you are ready to make your game on clay even more dynamic and controlled - comfortable, stable and powerful.",97.95 €,540,140.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48",https://www.tennis-point.de/products/wilson-rush-pro-45-sandplatzschuh-herren-schwarzhellgruen-00717502827000
Nike,Zoom Gp Challenge 1.5,"black, neon green","Optimize your tennis game with Zoom Gp Challenge 1.5 Experience unparalleled stability and comfort on the clay court with the Nike Zoom Gp Challenge 1.5 tennis shoes. These clay court shoes, specially developed for men, offer optimal support and ventilation thanks to their synthetic upper material and breathable textile interior. The rubber outsole ensures excellent grip and quick movements, while the EVA insole ensures a comfortable fit. With the advanced technology of Zoom Gp Challenge 1.5 you are ready to take your tennis game to the next level. Highlights: Excellent grip: The rubber outsole offers excellent grip on the clay court. Optimized comfort: Thanks to the EVA insole, you will experience a comfortable fit. Easy breathability: The textile inner material ensures a fresh foot climate. Get the Nike Zoom Gp Challenge 1.5 and dominate the clay court.",134.95 €,710,149.99 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-gp-challenge-15-sandplatzschuh-herren-schwarz-neongruen-p0000003340502
Nike,Zoom Gp Challenge 1.5,"sage, black","Optimize your tennis game with Zoom Gp Challenge 1.5 Experience unparalleled stability and comfort on the clay court with the Nike Zoom Gp Challenge 1.5 tennis shoes. These clay court shoes, specially developed for men, offer optimal support and ventilation thanks to their synthetic upper material and breathable textile interior. The rubber outsole ensures excellent grip and quick movements, while the EVA insole ensures a comfortable fit. With the advanced technology of Zoom Gp Challenge 1.5 you are ready to take your tennis game to the next level. Highlights: Excellent grip: The rubber outsole offers excellent grip on the clay court. Optimized comfort: Thanks to the EVA insole, you will experience a comfortable fit. Easy breathability: The textile inner material ensures a fresh foot climate. Get the Nike Zoom Gp Challenge 1.5 and dominate the clay court.",149.95 €,775,149.99 €,"40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5",https://www.tennis-point.de/products/nike-zoom-gp-challenge-15-sandplatzschuh-herren-salbei-schwarz-p0000003340503
Lacoste,AG-LT Ultra Clay,black-and-white,"Maximize your performance with the AG-LT Ultra Clay Discover the AG-LT Ultra Clay, the ultimate tennis shoe for ambitious clay court players. This high-quality shoe from Lacoste combines innovative technologies with stylish design to offer you not only optimal support but also a fashionable look. Thanks to the carefully selected upper material made of synthetic and textile, the shoes are particularly durable and breathable at the same time. The specially developed rubber outsole provides excellent grip on clay courts, while the EVA topsole provides additional cushioning and comfort. Highlights: Optimum durability: The robust upper material made of synthetic and textile guarantees long-lasting enjoyment of the product. Outstanding grip: Rubber outsole specially designed for clay courts offers maximum grip with every move. Increased comfort: The soft EVA insole provides optimal cushioning and improves the wearing comfort. Increase your performance on the court with the AG-LT Ultra Clay - your key to a new level of tennis!",104.95 €,570,150.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47",https://www.tennis-point.de/products/lacoste-ag-lt-ultra-clay-sandplatzschuh-herren-schwarz-weiss-p0000004760301
Nike,Zoom Gp Challenge 1.5,"light blue, dark blue","Optimize your tennis game with Zoom Gp Challenge 1.5 Experience unparalleled stability and comfort on the clay court with the Nike Zoom Gp Challenge 1.5 tennis shoes. These clay court shoes, specially developed for men, offer optimal support and ventilation thanks to their synthetic upper material and breathable textile interior. The rubber outsole ensures excellent grip and quick movements, while the EVA insole ensures a comfortable fit. With the advanced technology of Zoom Gp Challenge 1.5 you are ready to take your tennis game to the next level. Highlights: Excellent grip: The rubber outsole offers excellent grip on the clay court. Optimized comfort: Thanks to the EVA insole, you will experience a comfortable fit. Easy breathability: The textile inner material ensures a fresh foot climate. Get the Nike Zoom Gp Challenge 1.5 and dominate the clay court.",124.95 €,660,149.99 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-gp-challenge-15-sandplatzschuh-herren-hellblau-dunkelblau-p0000003340501
Nike,Zoom Gp Challenge Pro,"sage, black","Tennis performance at the highest level Discover the ultimate comfort and outstanding performance of the Zoom GP Challenge Pro from Nike. This tennis shoe was specially developed for clay courts and offers you a perfect combination of stability and flexibility. Thanks to the synthetic upper material, the shoe adapts perfectly to your foot, while the EVA insole provides excellent cushioning. The rubber outsole provides excellent grip on the clay court, so you can perform confidently with every move. The Zoom Gp Challenge Pro is your reliable partner on the tennis court. Highlights: Optimal fit: Synthetic upper for adaptability Superior cushioning: EVA insole for comfort Excellent grip: Rubber outsole for stability Increase your tennis performance with the Zoom GP Challenge Pro from Nike, your essential tennis shoe for clay courts.",99.95 €,545,99.99 €,"40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5",https://www.tennis-point.de/products/nike-zoom-gp-challenge-pro-sandplatzschuh-herren-salbei-schwarz-p0000003350903
Wilson,Rush Lite 5,"white, turquoise","Maximum performance on the clay court with the Rush Lite 5 Clay Perfect your tennis game with the Rush Lite 5 Clay from Wilson, the tennis shoe designed specifically for clay courts. Thanks to the high-quality textile and synthetic upper, this shoe combines comfort and durability. The special rubber outsole ensures optimal grip on sand, allowing for quick changes of direction and improved stability. The breathable textile lining keeps your feet cool and dry even during heated matches. With its innovative and targeted support, the Rush Lite 5 Clay delivers the performance you need to dominate on the court. Highlights: Special construction for clay courts: Optimum grip and stability thanks to special rubber outsole. Premium Materials: Combination of textile and synthetic for comfort and durability. Breathability: The textile lining ensures coolness and dryness during play. Experience the professional equipment you need to play your best tennis game.",114.95 €,615,130.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 49 1/3",https://www.tennis-point.de/products/wilson-rush-lite-5-sandplatzschuh-herren-weiss-tuerkis-p0000004120301
ASICS,Gel-Challenger 15,"white, pink","Stability and cushioning for your game on clay The ASICS Gel-Challenger 15 clay court shoe is your reliable partner for intensive matches on the clay court. It offers targeted support for quick changes of direction and longer rallies, combined with pleasant cushioning and optimal ground feel. The GEL technology in the rearfoot area ensures effective shock absorption and supports a comfortable running experience - even under high loads. The TRUSSTIC technology in the midsole stabilizes the midfoot and prevents unwanted twisting during sideways movements. The abrasion-resistant herringbone outsole is specifically designed for clay courts and provides excellent traction for quick slides and stops. Highlights: GEL cushioning system: Soft landings and excellent comfort TRUSSTIC support unit: Provides stability and guidance during dynamic movements Special clay court sole: Herringbone profile for optimal grip and controlled slides Durable upper material: Durable and supportive for a secure playing feel With the ASICS Gel-Challenger 15 clay court shoe you play confidently and dynamically - with the perfect balance of stability, comfort and control the sand court.",85.95 €,390,120.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49, 50,5",https://www.tennis-point.de/products/asics-gel-challenger-15-sandplatzschuh-herren-weiss-pink-a0000002380403
Nike,Zoom Vapor 12,black,"Dynamics and grip for quick matches on clay The Nike Vapor 12 clay court shoe men is the perfect choice for tennis players who are looking for maximum agility and stability on clay courts. Thanks to the specially developed herringbone outsole, the shoe offers optimal grip for quick changes of direction, while the lightweight upper material ensures a comfortable fit. Responsive Zoom Air cushioning ensures optimal shock absorption and explosive acceleration, while reinforced side panels provide additional support. The breathable mesh upper keeps your feet cool and dry - ideal for long, intense matches on clay. Your advantages at a glance: Herringbone profile for perfect grip - Optimal traction on clay courts Zoom Air cushioning - Responsive shock absorption for quick acceleration Breathable, stable design - Light, comfortable and with increased support With the Nike Vapor 12 clay court shoe men you play faster, more stable and with maximum comfort - for your best tennis on clay!",134.95 €,710,160.00 €,"38,5, 39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-zoom-vapor-12-sandplatzschuh-herren-schwarz-00417517841000
HEAD,Sprint Team 4.0,"dark blue, light green","Perfect performance on the clay court with the Sprint Team 4.0 Clay The Sprint Team 4.0 Clay from HEAD combines the latest technologies with optical elegance and offers tennis players everything they need for fast games on clay courts. Equipped with a high-quality rubber sole for optimal grip and a feather-light EVA insole, this tennis shoe guarantees maximum agility and effective cushioning with every step. The breathable mesh in the upper material ensures constant freshness and comfort, even during intense match phases. Highlights: Excellent grip: Robust rubber sole for safe performance on clay courts. Optimal cushioning: Lightweight EVA insole protects the feet from strong impacts. Breathable design: Innovative mesh inserts for more air permeability and comfort. Experience the new generation of tennis shoes with the Sprint Team 4.0 Clay and take your game to the next level!",78.95 €,360,110.00 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47, 48, 48,5",https://www.tennis-point.de/products/head-sprint-team-40-sandplatzschuh-herren-dunkelblau-hellgruen-p0000004231001
Mizuno,Wave Exceed Court,"white, berry","Experience the comfort of a professional on the clay court. With the Wave Exceed Court tennis shoes from Mizuno you are perfectly equipped for your next match. These clay court shoes impress with their lightweight, synthetic upper material, which offers you excellent freedom of movement. The mix of textile inner material and an EVA insole ensures a comfortable fit that doesn't wear off even after hours of play. The rubber outsole guarantees you exceptional grip and stability on clay courts. The Wave Exceed Series embodies the perfect balance between comfort and performance, exactly what you need for your tennis adventures. Highlights: Lightweight upper material: synthetic for optimal freedom of movement Comfortable insole: EVA material for lasting comfort Stable outsole: rubber for excellent grip on sand Make the difference on the court and rely on the Wave Exceed Court clay court shoes.",79.95 €,365,125.00 €,"36,5, 37, 38, 38,5, 39, 40, 40,5, 41, 42, 42,5, 43",https://www.tennis-point.de/products/mizuno-wave-exceed-court-sandplatzschuh-herren-weiss-berry-07217601219000
adidas,adizero Ubersonic 5,"white, dark blue","Experience agility and comfort on the clay court! With the adizero Ubersonic 5 Clay from adidas you are unbeatable on clay courts. The light material mix of textile and synthetic ensures breathability and comfort, while the clay court sole offers optimal grip. Ideal for players who value speed and flexibility on the pitch. Highlights: Lightweight and breathable design for long-lasting comfort. Specially developed sole for clay court performance. Ideal for dynamic players who want to dominate their opponents.",149.95 €,775,150.00 €,"40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 48 2/3, 50",https://www.tennis-point.de/products/adidas-adizero-ubersonic-5-sandplatzschuh-herren-weiss-dunkelblau-00517606857000
HEAD,Sprint Evo 4.0,"cream, red","Discover the Sprint Evo 4.0 - Perfect grip on the clay court The Sprint Evo 4.0 from HEAD is the ultimate choice for ambitious tennis players looking for a high-performance clay court shoe. Thanks to the innovative design based on the proven Sprint series, this shoe offers a perfect combination of stability, flexibility and lightness. The upper material made of high-quality synthetic and mesh ensures optimal breathability and pleasant wearing comfort, while the specially developed rubber outsole ensures excellent grip on clay court surfaces. Whether during intense competitions or training sessions, the Sprint Evo 4.0 supports you in playing your best tennis. Highlights: Optimal ventilation: High-quality materials for breathability and comfort Grip and stability: Specially developed sole for optimal grip on clay courts Light and flexible: For maximum performance without compromise Feel the difference on the court with the Sprint Evo 4.0 from HEAD!",129.95 €,685,130.00 €,"41, 42, 42,5, 43, 44, 44,5, 45, 46, 46,5, 47, 48",https://www.tennis-point.de/products/head-sprint-evo-40-sandplatzschuh-herren-creme-rot-p0000004650201
Nike,Vapor Lite 3,"light blue, coral","Dynamics and comfort combined - the perfect shoe for the clay court. This clay court shoe for men offers the ideal combination of stability, lightness and modern design. Specially developed for dynamic players, it ensures maximum control and a comfortable fit during intense matches on clay courts. The innovative midsole with lightweight cushioning provides optimal shock absorption to relieve joint pressure and support explosive movements. The specially profiled clay court outsole guarantees excellent grip and stability, even when changing direction quickly. The breathable mesh upper ensures your feet stay cool and dry, even during long and demanding matches. With its sporty and elegant design, this shoe is not only functional, but also an eye-catcher on the tennis court. Highlights: Lightweight midsole for optimal cushioning and dynamic mobility Clay court outsole for secure grip and maximum stability on sand surfaces Breathable mesh upper for long-lasting comfort and ideal ventilation Unlock your full potential on the clay court - with a shoe that provides you with optimal support in every playing situation.",76.95 €,355,84.99 €,"40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46, 47, 47,5, 48,5, 49,5",https://www.tennis-point.de/products/nike-vapor-lite-3-sandplatzschuh-herren-hellblau-koralle-a0000003340601
Mizuno,Wave Exceed Tour 7,"red, white","Experience new highlights on the court with the Wave Exceed Tour 7 The Wave Exceed Tour 7 from Mizuno takes your tennis games to the next level. Featuring a high-quality synthetic upper and a flexible rubber outsole, this shoe offers outstanding stability and slip resistance on clay courts. The breathable textile inner material and the EVA insole guarantee optimal comfort and effective cushioning with every step. With its dynamic design, the Wave Exceed Tour 7 is not only functional, but also stylish. Highlights: Optimum stability: Synthetic and rubber materials ensure a secure hold. High wearing comfort: Breathable textile and EVA insole provide first-class cushioning. Stylish design: Modern and functional for the best look while doing sports. Let the quality and performance of the Wave Exceed Tour 7 convince you!",134.95 €,710,150.00 €,"39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47",https://www.tennis-point.de/products/mizuno-wave-exceed-tour-7-sandplatzschuh-herren-rot-weiss-07217601227000
ASICS,Game FF / OC,"white, petrol","For clay court specialists – control and comfort in one! The Game FF Clay from ASICS combines advanced technology with a robust design. The synthetic leather ensures stability and a precise fit, while the clay court sole provides unparalleled grip. Perfect for players who want to perform at their best on clay. Highlights: Clay court sole for stability and maximum traction. Synthetic leather for durability and comfort. Ideal for precise and dynamic play on sand.",68.95 €,320,90.00 €,"40, 40,5, 41,5, 42, 42,5, 43,5, 44, 44,5, 45, 46, 46,5, 47, 48, 49",https://www.tennis-point.de/products/asics-game-ff-oc-sandplatzschuh-herren-weiss-petrol-a0000002390501
K-Swiss,HYPERCOURT EXPRESS 3 Clay,"white, blue","Maximum performance on the court with the HYPERCOURT EXPRESS 3 Clay. Rediscover the world of tennis with the HYPERCOURT EXPRESS 3 Clay from K-Swiss. Designed specifically for clay courts, this tennis shoe combines cutting-edge technology with exceptional comfort. The breathable mesh upper, together with the synthetic reinforcements, ensures an optimal balance of flexibility and support. Thanks to the robust rubber outsole, the shoe offers excellent traction, while the EVA insole cushions every step, making even long-lasting matches a pleasure. Highlights: Breathable Upper: Mesh and synthetic reinforcements keep your feet cool and dry. Optimized traction: The rubber outsole guarantees excellent grip on clay courts. Comfort with every step: The EVA insole provides effective cushioning and improves your performance. Leave your opponents behind with the HYPERCOURT EXPRESS 3 Clay, the synthesis of innovation and style.",109.95 €,595,149.99 €,"41, 41,5, 42, 42,5, 43, 44, 44,5, 45, 46, 47, 49",https://www.tennis-point.de/products/k-swiss-hypercourt-express-3-clay-sandplatzschuh-herren-weiss-blau-p0000004300802
